replicate,cell_type,opp_mean,opp_std
replicate_1,Neural,1.5344795095902064,0.37906354843560813
replicate_1,Pluripotent,1.0032703219523993,0.31683657439358814
replicate_1,Mesoderm,1.2126720833459776,0.5324239814274803
replicate_1,NMP,1.27633046973927,0.37864323219202295
replicate_2,Neural,1.292183090315555,0.31071680309445976
replicate_2,Pluripotent,1.1130376824596888,0.2814600875988261
replicate_2,Mesoderm,1.102306236307372,0.3313765596359432
replicate_2,NMP,1.2145148967184671,0.32878177493627075
replicate_3,Neural,1.8816680778497952,0.7140755371367192
replicate_3,Pluripotent,1.174015566618083,0.5844716800673798
replicate_3,Mesoderm,1.3513588452317338,0.7705168394186047
replicate_3,NMP,1.9281726243343387,0.8216247634602533
replicate_4,Neural,1.543613339751746,0.43987340120764884
replicate_4,Pluripotent,0.9931846172632051,0.4577088992932928
replicate_4,Mesoderm,0.9826388515748683,0.4658792593033701
replicate_4,NMP,1.244620010331774,0.41380563338332704
replicate_5,Neural,1.943842039461947,0.49237942953077607
replicate_5,Pluripotent,1.1139950839781187,0.4305813142016052
replicate_5,Mesoderm,1.2867533828936586,0.5985268153823298
replicate_5,NMP,1.470556399639087,0.553432937613113
